Sat Jan 14 14:02:38 2023 | SUCCESS | res.planet | Tatooine | ID_SW - 1 | ID_Odoo - 1549
Sat Jan 14 14:02:40 2023 | SUCCESS | res.planet | Alderaan | ID_SW - 2 | ID_Odoo - 1550
Sat Jan 14 14:02:42 2023 | SUCCESS | res.planet | Yavin IV | ID_SW - 3 | ID_Odoo - 1551
Sat Jan 14 14:02:44 2023 | SUCCESS | res.planet | Hoth | ID_SW - 4 | ID_Odoo - 1552
Sat Jan 14 14:02:46 2023 | SUCCESS | res.planet | Dagobah | ID_SW - 5 | ID_Odoo - 1553
Sat Jan 14 14:02:49 2023 | SUCCESS | res.planet | Bespin | ID_SW - 6 | ID_Odoo - 1554
Sat Jan 14 14:02:51 2023 | SUCCESS | res.planet | Endor | ID_SW - 7 | ID_Odoo - 1555
Sat Jan 14 14:02:53 2023 | SUCCESS | res.planet | Naboo | ID_SW - 8 | ID_Odoo - 1556
Sat Jan 14 14:02:55 2023 | SUCCESS | res.planet | Coruscant | ID_SW - 9 | ID_Odoo - 1557
Sat Jan 14 14:02:57 2023 | SUCCESS | res.planet | Kamino | ID_SW - 10 | ID_Odoo - 1558
Sat Jan 14 14:02:59 2023 | SUCCESS | res.planet | Geonosis | ID_SW - 11 | ID_Odoo - 1559
Sat Jan 14 14:03:01 2023 | SUCCESS | res.planet | Utapau | ID_SW - 12 | ID_Odoo - 1560
Sat Jan 14 14:03:04 2023 | SUCCESS | res.planet | Mustafar | ID_SW - 13 | ID_Odoo - 1561
Sat Jan 14 14:03:06 2023 | SUCCESS | res.planet | Kashyyyk | ID_SW - 14 | ID_Odoo - 1562
Sat Jan 14 14:03:08 2023 | SUCCESS | res.planet | Polis Massa | ID_SW - 15 | ID_Odoo - 1563
Sat Jan 14 14:03:10 2023 | SUCCESS | res.planet | Mygeeto | ID_SW - 16 | ID_Odoo - 1564
Sat Jan 14 14:03:12 2023 | SUCCESS | res.planet | Felucia | ID_SW - 17 | ID_Odoo - 1565
Sat Jan 14 14:03:14 2023 | SUCCESS | res.planet | Cato Neimoidia | ID_SW - 18 | ID_Odoo - 1566
Sat Jan 14 14:03:16 2023 | SUCCESS | res.planet | Saleucami | ID_SW - 19 | ID_Odoo - 1567
Sat Jan 14 14:03:19 2023 | SUCCESS | res.planet | Stewjon | ID_SW - 20 | ID_Odoo - 1568
Sat Jan 14 14:03:21 2023 | SUCCESS | res.planet | Eriadu | ID_SW - 21 | ID_Odoo - 1569
Sat Jan 14 14:03:23 2023 | SUCCESS | res.planet | Corellia | ID_SW - 22 | ID_Odoo - 1570
